asin,reviewText,summary,size,color,image_urls,overall
B0058YEJ5K,I workout at the local crossfit and find that these shoes help give me good support  with my endurance workouts.,... crossfit and find that these shoes help give me good support with my endurance workouts, 10 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"These shoes look really great. However, slightly loose. The problems with lack of support arose when I exercised. It feels like there is little to no support in them. Possibly this is a shoe more geared for an office environment or short walking distances.",Unnacceptable. Zero support, 8.5 B(M) US, Black/White/Anthracite/Stealth,,3
B0058YEJ5K,These are my favorite walk around shoes! I can wear them all day and not be in pain! Love em!,Great for walking!, 8.5 B(M) US, Ocean Fog/Blue Grey/Mango,,5
B0058YEJ5K,"Favorite training and walking-around sneakers.
They look good with just about anything, and are comfortable for most situations.
With the exception of running (for which I use proper Mizuno running sneakers with an arch-support insole), these sneakers are my go-to.
If I could, I'd take away a 1/2 star for arch support - I have a slightly wider front of the foot and arches that are a little on the high side, so I do look for a good under the foot fit. I could probably tie the laces differently or put in an insole(they're pretty expensive), but as is, when I did a zumba class in these, my arch began to twinge :(
However, this is overall an awesome shoe that I will continue to stick with for going out, day to day walking, and for training and gym use (with the exception of running and zumba (although hip-hop was fine). The shoes have a great flexibility to them and don't look ""dirty"" easily. My previous pair of flex supreme TR 3s have lasted for a good 2 years and are just now on the verge of being worn out. This is the optimal sneaker that is flexible in more ways than one: from pointing you toes to leg-pressing, from gym use to shopping to adding a sporty edge to a dressy night out, the flex has it all.",Simply Supreme., 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"Love these! I have 3 pairs...they're so comfortable - I'm on my feet all day & my feet actually don't hurt at the end of the day when I wear these :)
I've learned to get these 1/2 size smaller....I'm normally a size 7 and the 6 1/2 fit perfectly",Soooo comfortable....., 6.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,Great shoes. Lightweight and comfortable,Five Stars, 6 B(M) US, black,,5
B0058YEJ5K,BEST. SHOES. EVER.  I bought two pairs in different colors- black n' white and the pink and white...  They have AWESOME support for whatever you use them for.. I have one for work and the other for training/running/etc in...,BEST SHOES EVER!, 7.5 B(M) US, Pink Blast/Stealth/Hyper Pink/White,,5
B0058YEJ5K,These sneakers give me the motivation to workout because they feel so good and are great for any training,... me the motivation to workout because they feel so good and are great for any training, 7.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"I LOVE the look and comfort of these shoes for style and lifting weights. Super cute and flezable. BUT for running, absolutely not!! It might just be my pronation/supnation and these shoes just do not work for my personal stride. I run about 2-4 miles every few days. Average of 8 miles a week and then sprints twice a week on a treadmill. Just after running with these 3 times, I am having major back issues that I have never had before.

MY STATS and other shoes:
I road and trail run. I run on my tip toes on the treadmill and a lot of heal on the road. I am 5'6 169lbs with more muscle than an average runner. Built more like a sprinter than a marathon runner.
I LOVE Nike FLEX bottoms. They really give me support and flex needed. I have also used Asics and Puma.",Hurt my knees and back running, 9.5 B(M) US, Black/White/Anthracite/Stealth,,3
B0058YEJ5K,Size 5. Very comfortable shoes. Love!,Very comfortable shoes. Love, 5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"I bought a wide size of these at a local store and they are amazing!  Soft, comfy, with moderate support.  Not a cloud to walk on, but not minimalist.  The wide size is perfect for my wide feet with high arches.  The shoe tends to run about a half size long though, especially for Nike.  I am working on getting in shape, and these shoes feel good all day... No rubbing on my big toe joint or pinkie toe or heel.  Very pleased.",Great shoes, 9.5 B(M) US, Wolf Grey/Platinum/White/Crimson,,5
B0058YEJ5K,I always buy the same size this ones came to large,large shoe, 10 B(M) US, Black/White/Anthracite/Stealth,,3
B0058YEJ5K,"Nice shoes, fit good",Five Stars, 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,I bought these for my wife. She saw them in the store but did not have their size so i ordered on amazon. She loves them . She already had for a couple of months and no complains at all. One of her favorites shoes for running or for her job since she walks a lot in the warehouse. Now she loves me more. :),My wife loves these shoes., 8.5 B(M) US, Black/Wolf Grey/White/Pink,,5
B0058YEJ5K,Love these shoes. My feet have been weird since I was pregnant and my old shoes were uncomfortable. These are very comfy and help me get active. They are also stylish and go with anything.,Love Love Love, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"Look better than the picture, very comfortable, great support.",PERFECT, 6.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,Love my new Nike's.  It's been years since I've been able to wear them (sizing changed years ago and I just couldn't wear them any more) but now the new styles and sizing are perfect.  Lightweight shoe with tons of style.  The Fog color is just what I was looking for...not black and not neon!  I wore them to participate in Relay for Life (24 hour walk) and they held up great!,Nice shoe, 9.5 B(M) US, Ocean Fog/Blue Grey/Mango,,5
B0058YEJ5K,"I am so happy with this purchase. I feel like I'm barely wearing a sneaker when working out. Another plus is that when I take off my sneaker, my sock is barely sweaty! I have never had that experience with a shoe. The shoe is also very attractive and flattering and looks nice on my feet.",I am so happy with this purchase, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,Absolutely love them. Can even wear them without my insoles.,Five Stars, 9.5 B(M) US, Pink Blast/Stealth/Hyper Pink/White,,5
B0058YEJ5K,"Super cute shoe however runs wide and big, I'm a size 10 however this size 10 is too big. I went to a sporting goods store and tried the same shoe on  turns out with this particular shoe I'm a 9.5, so order half the size u normally are.",Cute, 10 B(M) US, Black/Wolf Grey/White/Pink,,3
B0058YEJ5K,"Wore these for the first time hiking the bluffs. Not the best traction on well worn rocks, but super comfy. No blisters, no achilles pain like with other shoes. Will continue to purchase Nike shoes, because my feet love them for all activities! ( except my home workouts, they drag pretty hard on the carpet)",Love, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"A-MA-ZING!  I needed a good jogging shoe and these make me feel like ""Forest Gump"".  I felt like I was running on a cloud.  I have narrow feet and these fit perfectly.  I am so happy that I am going to purchase another two pair as back-ups for once it's time to replace them.  Highly recommend to women who like to walk or run and light a light weight, comfortable shoe.",Absolutely Perfect Shoe!!, 8.5 B(M) US, Bright Mango/Crimson/White/Blue,,5
B0058YEJ5K,"Comfortable and lightweight. Need a good training shoe that's also supportive and flexible.  I really like the fit, but had to get 1/2 size larger as this style in my size is too perfect from heel to toe.",Comfortable and lightweight, 10.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,Excellent,Five Stars, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"These shoes are awesome!  They are nearly weightless and feel great on my feet.  The first day I wore them I wore them ALL day on vacation.  I put them on the next day and did the same.  Besides the comfort, they are really a cool color!",Awesome shoes!, 7 B(M) US, Ocean Fog/Blue Grey/Mango,,5
B0058YEJ5K,Super cute!,Five Stars, 9 B(M) US, Black/Wolf Grey/White/Pink,,5
B0058YEJ5K,perfect,Five Stars, 11 D(M) US, Cool Grey/Team Orange/White/Platinum,,5
B0058YEJ5K,"This is the most comfortable shoe I've ever had. No other shoe can compare to how the individual nubs on the bottom allow your foot to be cushioned, yet work like it's suppose to. My feet feel cradled in this shoe and hard surfaces don't make my feet ache anymore.

These shoes have a small amount of support, but not much, which I like as I'm coming from vibram five fingers. (Sorry vffs, I'm bailing after 2 years of shin splints, no matter what I did).

Highly recommended for walking/running on concrete or tracks. As long as nike continues to make the flex supreme, they will get my money. Please don't change this shoe!",Time to leave the fad of the month for something that works.,,,,5
B0058YEJ5K,"I wear them for Zumba and my heel slips on turns. A little annoying because I have to pay attention but they are so cute and comfy, it balances out.",A little annoying because I have to pay attention but they are ..., 8.5 B(M) US, Black/Wolf Grey/White/Pink,,4
B0058YEJ5K,Nice shoes,Five Stars, 6.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"These run large. I wear a 9.5 exactly in every shoe, but these I bought a 9, and the toe area is pretty wide plus plenty long even with socks. Very comfy and very nice looking shoe. I love them but glad I was able to try them on before purchasing.",and the toe area is pretty wide plus plenty long even with socks, 9 B(M) US, Grey,,5
B0058YEJ5K,"Perfect fit, very comfortable, and a great color. They also fit as expected.",Five Stars, 7.5 B(M) US, Bright Mango/Crimson/White/Blue,,5
B0058YEJ5K,Really comfy and nice color,Great and comfy for sports, 8 B(M) US, Ocean Fog/Blue Grey/Mango,,5
B0058YEJ5K,"The picture makes the shoe look like it has a ""boxier"" toe rather than the ""pointier"" toe that it actually has. I have wider feet and generally need to buy a size or half size longer to get a comfortable width (in any brand of shoe). I was shooting for a rounder, broader toe design which is more comfortable for me, and I feel that the pictures of this shoe didn't accurately depict what I received, in that one detail. Otherwise, ""the shoe fits."" So I am wearing it.",A bit pointier toe than depicted..., 10 D(M) US, Grey/Orange,,4
B0058YEJ5K,These are the most comfortable shoes I've used for working out. Extremely light weight and flexible. Loved them so much I purchased two more pair in different colors.,Best shoes ever!!!, 9 B(M) US, Black/Wolf Grey/White/Pink,,5
B0058YEJ5K,Very comfortable and looks great!,Five Stars, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,Love this shoes so comfy and great very everyday use. Runs big,Fits wonderful, 6.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,Nice looking and fit nice,Four Stars, 12 D(M) US, Cool Grey/Team Orange/White/Platinum,,4
B0058YEJ5K,"I am a recess aide and on my feet all day long. I tried these shoes on in the store before purchasing them on Amazon. They are very lightweight and comfortable. I was surprised how great they felt. I haven't had a pair of Nikes since Nike shoxs came out. They are so much more lightweight than those. I wore them an entire day the first day and had no problems. The second day; however, I got a pain in my hip to the point where I started limping. As soon as I got home and took them off, the pain was gone the rest of the evening. I'm only 30 by the way. Nothing else in my daily routine changed except wearing these shoes two days in a row. I don't understand why it would make my hip hurt since they are comfortable on my feet, but I'm sure that was the problem. I wore different shoes today and had no pain. I don't think as much as I am on my feet I will be able to wear them an extended amount of time. I will have to rotate wearing them every other day. For normal wear, I believe, people will be fine. I am literally walking or standing six hours a day straight.

**UPDATE: So, initially after wearing them, I had hip pain after wearing them. I don't know if they just needed to be broken in, but I wear them all the time now and have not experienced any pain since the first couple times of wearing them. They are comfortable, and I love them even more now.",Comfortable and lightweight, 8.5 B(M) US, Black/White/Anthracite/Stealth,,4
B0058YEJ5K,Perfict fit for me. Great looking shoes at a great price.,nice, 12 D(M) US, Cool Grey/Team Orange/White/Platinum,,5
B0058YEJ5K,The sneakers are very comfortable and fit to size.,Five Stars, 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0058YEJ5K,"I've had these shoes for about a week now and have so far enjoyed using them. Considering the fact that I have wide feet, the shoes are slightly tight. However, it doesn't feel uncomfortable nor does it bothers me as I use them throughout my workouts. I know some people personally like when the shoes are a bit tighter or a bit looser so it's all in personal preference.",Wide Feet so Somewhat Tight, 10 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,Put them on and walked 3 hours with no problem! Love them! So light feeling,Love them! So light feeling, 7.5 B(M) US, Bright Mango/Crimson/White/Blue,,5
B0014F7B98,excelente,Five Stars, 10.5 D(M) US, Cool Grey/Team Orange/White/Platinum,,5
B0014F7B98,"The shoes fit well in the arch area. They are a little wider in the toe area of the shoe, you feel like you have a lot of room. This does not make the shoe uncomfortable, just had to get used to it. Love the shoe.",you feel like you have a lot of room, 8.5 B(M) US, Black/White/Anthracite/Stealth,,4
B0014F7B98,"Tried them on in a store before buying online so I knew they'd fit good. Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far. They are really light and comfortable. Most importantly for me they have grips on the bottoms so my feet don't slide out from under me while doing planks, push-ups, etc. Highly satisfied with this purchase.",Exactly What I Was Looking For, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,I recommend that!,Five Stars, 6.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"My son likes these, and this is the 2nd pair he's worn.","Good shoes, tolerable price.", 13 D(M) US, Cool Grey/Team Orange/White/Platinum,,5
B0014F7B98,Really great for walking I'm very glad I got these and the color is fun,Five Stars, 8.5 B(M) US, Green Glow/Seaweed - Hasta - White,,5
B0014F7B98,Love these shoes. My feet feel so much better. Lots of padding and light enough to run in.,Five Stars, 8 B(M) US, Grey,,5
B0014F7B98,ok but too big,Three Stars, 12 B(M) US, Cool Grey/Volt/Pure Platinum,,3
B0014F7B98,Love these shoes.. they are so comfortable.,Five Stars, 9.5 B(M) US, Pure Platinum/Blue Glow/Wolf Grey,,5
B0014F7B98,"In really like these. I wear between a 9-9.5 womens, I got the 9.5 and they fit perfectly. They are light weight but have good support. I will buy another pair.",Great Shoe, 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!",Love these shoes, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",Its not as comfortable as I was expecting, 9 B(M) US, Blue Tint/Green Glow/Hasta/White,,3
B0014F7B98,Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,Very Comfortable, 9.5 B(M) US, Black/White/Anthracite/Stealth,https://images-na.ssl-images-amazon.com/images/I/71MxdEmUNpL._SY88.jpg,5
B0014F7B98,The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,The color pattern and fit is what I liked the most what I liked the least is that ..., 7 B(M) US, Blue Tint/Green Glow/Hasta/White,,5
B0014F7B98,"love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.",Great shoe for the price!, 6 B(M) US, black,,5
B0014F7B98,"Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!",Great shoe!, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,The material is real then hope they don't fall apart . to expensive for what you get.,Three Stars, 8 B(M) US, Blue Tint/Green Glow/Hasta/White,,3
B0014F7B98,Nice,Three Stars, 7 B(M) US, Wolf Grey/Black-pink Blast/White,,3
B0014F7B98,Gracias,Five Stars, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,Love these shoes, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,,Five Stars, 11 B(M) US, Wolf Grey/Black-pink Blast/White,https://images-na.ssl-images-amazon.com/images/I/61ifu-JvzQL._SY88.jpg,5
B0014F7B98,Great arch support and comfortable.,Great cross trainer, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,They are comfortable for the most but just a bit narrow, 8.5 B(M) US, Wolf Grey/Black-pink Blast/White,,4
B0014F7B98,second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,staple sneakers, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,My daughter loves these shoes. Fit true to size.,Great looking shoe, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,Great shoes., 7 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B0014F7B98,Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,"Style 10/10, Comfort 3/10", 8.5 B(M) US, Wolf Grey/Black-pink Blast/White,,3
B0014F7B98,"Straight out of the box, these shoes are great! Very lightweight and fits comfortably on my feet like a glove! I love most especially that the sole is not bulky like my previous running shoes  I hated those things lol! I would give them a shot and they are great for the price!",these shoes are great! Very lightweight and fits comfortably on my feet ..., 9 B(M) US, Blue Tint/Green Glow/Hasta/White,"https://images-na.ssl-images-amazon.com/images/I/61nv8h45pHL._SY88.jpg, https://images-na.ssl-images-amazon.com/images/I/71mOYBlBnAL._SY88.jpg, https://images-na.ssl-images-amazon.com/images/I/619NiK+tIRL._SY88.jpg",5
B0014F7B98,Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,Great shoes. Fit perfectly, 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,I love them! They fit perfect and are very comfortable!!,Five Stars, 6.5 B(M) US, Wolf Grey/Black-pink Blast/White,,5
B0014F7B98,Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,Perfect. Lightweight and comfortable all day, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,My knees feel better so so hard so good, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,Love the color!,Five Stars, 8.5 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B0014F7B98,"Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.","Comfortable, lightweight Xtrainer", 8 D - Wide, Cool Grey / Volt - Wolf Grey - Pure Platinum,,4
B0014F7B98,"The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.",Great shoe!, 7.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,They looked very cheap,Returned...looked cheap, 9.5 B(M) US, Wolf Grey/Platinum/White/Crimson,,1
B0014F7B98,The fit is as expected,Fits to size, 9 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,Very comfortable shoes. This is my second pair of this ..., 11 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"Comfortable, consistent each time I order and good looking",Sleek and sporty, 7.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,I love the shoes and the description and photos were accurate, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!,Great fit!, 8.5 B(M) US, Blue Tint/Green Glow/Hasta/White,https://images-na.ssl-images-amazon.com/images/I/81RTR7fHytL._SY88.jpg,5
B0014F7B98,I always order a 1/2 size up in workout shoes.,Lightweight, 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Squeaky soles, 8.5 B(M) US, Black/White/Anthracite/Stealth,,1
B0014F7B98,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Two Stars, 9 B(M) US, Black/White/Anthracite/Stealth,,2
B0014F7B98,Exactly what I expected! Comfortable and chic,Comfortable and, 8 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,They were a gift  to my daughter she loved them,Their Cute and Pink, 7.5 B(M) US, Wolf Grey/Black-pink Blast/White,https://images-na.ssl-images-amazon.com/images/I/71Q1TDIUL6L._SY88.jpg,5
B0014F7B98,Love these comfy shoes. they fit like a glove.,Five Stars, 8.5 B(M) US, Blue Tint/Green Glow/Hasta/White,,5
B0014F7B98,Very confortable.,Smooth and confortable., 7 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,i love these shoes.,Five Stars, 8 B(M) US, Energy/Mtlc Silver/Black,,5
B0014F7B98,"Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.",decent arch support and comfortably to wear all day doing regular activity and sprinting, 8.5 B(M) US, Cool Grey/Volt-pure Platinum,,5
B0014F7B98,daughter loves them,Five Stars, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.",Good shoes, 6.5 B(M) US, Cool Grey/Pure Platinum/White/Volt,,5
B0014F7B98,"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",Good shoes, 9.5 B(M) US, Black/White/Anthracite/Stealth,,4
B0014F7B98,Wife loves them!,Five Stars, 7.5 B(M) US, Cool Grey/Volt/Pure Platinum,,5
B0014F7B98,"These shoes are extremely comfortable, and fit as expected.  Will purchase again.",Five Stars, 9 D - Wide, Cool Grey / Volt - Wolf Grey - Pure Platinum,,5
B0014F7B98,Artculo equivocado en color,One Star, 6 B(M) US, Racer Blue/Obsidian/Blue Tint,https://images-na.ssl-images-amazon.com/images/I/81-b35fKqUL._SY88.jpg,1
B0014F7B98,Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,Glad I read the reviews and ordered a half size ..., 9.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"On the left shoe, there were two stained yellow spots.",Not in perfect condition, 9.5 B(M) US, Blue Tint/Green Glow/Hasta/White,,3
B0014F7B98,"I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable, I hadn't realized how hot running shoes made my feet until I switched to these. Good support and my feet stay cool all day, also noticeably light but well-made and long lasting.

I have worn them hiking in a pinch but don't really recommend it because the material is mesh-like and will let a lot of dirt in. But if you mainly take cardio classes and/or do weight training or just need something to wear around town look no further.","Very comfortable, cute, and long-lasting", 9 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!","Super light-weight, nice tread and arch support - love them so far!", 6 B(M) US, Pure Platinum/Blue Glow/Wolf Grey,,5
B0014F7B98,I Love it. It is very light and the color is great.,Five Stars, 8.5 B(M) US, Wolf Grey/Black-pink Blast/White,,5
B0014F7B98,"My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.",My wife loves these shoes. We have both been ..., 8.5 W US, Cool Grey / Volt - Wolf Grey - Pure Platinum,,5
B0014F7B98,"Absolutly love these shoes!! Beautiful color, comfy, and lightweight",New Favorite Shoes, 8 B(M) US, Energy/Mtlc Silver/Black,https://images-na.ssl-images-amazon.com/images/I/716r65w8StL._SY88.jpg,5
B0014F7B98,"I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",Foam compresses, 11 B(M) US, Cool Grey/Volt/Pure Platinum,,2
B0014F7B98,She loves them,Five Stars, 8.5 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,"These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.

The pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.

Overall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.",I usually wear a 9 but could have easily ordered a 8, 9 B(M) US, Wolf Grey/Black-pink Blast/White,,3
B0014F7B98,great,Five Stars, 8.5 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B0014F7B98,c,Five Stars, 6.5 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B0014F7B98,Love them!,Five Stars, 9 B(M) US, Wolf Grey/Black-pink Blast/White,,5
B0014F7B98,"Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more ""wiggle"" room in my footwear, otherwise I would have kept them.",Fits snug, 9 B(M) US, Black/White/Anthracite/Stealth,,3
B0014F7B98,"Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.","Not sure why, but my mid section of my ...", 6 B(M) US, black,,3
B0014F7B98,My New Gym shoes! Love them,Love, 10 B(M) US, Cool Grey/Pure Platinum/White/Volt,,4
B0014F7B98,Perfect!,Five Stars, 9 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B0014F7B98,Perfect!,Five Stars, 9 B(M) US, Energy/Mtlc Silver/Black,,5
B0014F7B98,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,TOO NARROW!, 8 B(M) US, Black/White/Anthracite/Stealth,,1
B0014F7B98,"Great shoe! Outside arch is kind of high, but I'm still breaking them in. So I'm sure that will work it's way out. I originally ordered a 9, my regular size, and it was a tad too big. Returned and ordered an 8.5 and it fits perfect!",Consider sizing down 1 size, 9 B(M) US, Hyper Jade/Mtlc Silver/Hyper Turq,,5
B0014F7B98,I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.,Seem to Run Big, 8.5 B(M) US, Ocean Fog/Blue Grey/Mango,,4
B0014F7B98,Fit comfortable,Five Stars, 10 B(M) US, Cool Grey/Pure Platinum/White/Volt,,5
B0014F7B98,"My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!",Perfect for trails, 7 B(M) US, Black/White/Anthracite/Stealth,,5
B0014F7B98,Nice fit,Four Stars, 9 B(M) US, Wolf Grey/Black-pink Blast/White,,4
